ScientificName	AphiaID	Match type	LSID	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Ostrea edulis	140658	exact	urn:lsid:marinespecies.org:taxname:140658	Ostrea edulis	Linnaeus, 1758	140658	Ostrea edulis	Linnaeus, 1758	Animalia	Mollusca	Bivalvia	Ostreida	Ostreidae	Ostrea		edulis	
Ostrea edulis	140658	exact	urn:lsid:marinespecies.org:taxname:140658	Ostrea edulis	Linnaeus, 1758	140658	Ostrea edulis	Linnaeus, 1758	Animalia	Mollusca	Bivalvia	Ostreida	Ostreidae	Ostrea		edulis	
Pachygrapsus transversus	107457	exact	urn:lsid:marinespecies.org:taxname:107457	Pachygrapsus transversus	(Gibbes, 1850)	107457	Pachygrapsus transversus	(Gibbes, 1850)	Animalia	Arthropoda	Malacostraca	Decapoda	Grapsidae	Pachygrapsus		transversus	
PAGURIDAE	106738	exact	urn:lsid:marinespecies.org:taxname:106738	Paguridae	Latreille, 1802	106738	Paguridae	Latreille, 1802	Animalia	Arthropoda	Malacostraca	Decapoda	Paguridae				
Palaemon elegans	107614	exact	urn:lsid:marinespecies.org:taxname:107614	Palaemon elegans	Rathke, 1837	107614	Palaemon elegans	Rathke, 1837	Animalia	Arthropoda	Malacostraca	Decapoda	Palaemonidae	Palaemon		elegans	
Patella spp_	138312	exact	urn:lsid:marinespecies.org:taxname:138312	Patella	Linnaeus, 1758	138312	Patella	Linnaeus, 1758	Animalia	Mollusca	Gastropoda		Patellidae	Patella			
Perforatus perforatus	535477	exact	urn:lsid:marinespecies.org:taxname:535477	Perforatus perforatus	(Bruguière, 1789)	535477	Perforatus perforatus	(Bruguière, 1789)	Animalia	Arthropoda	Hexanauplia	Sessilia	Balanidae	Perforatus		perforatus	
Phorcus articulatus	689174	exact	urn:lsid:marinespecies.org:taxname:689174	Phorcus articulatus	(Lamarck, 1822)	689174	Phorcus articulatus	(Lamarck, 1822)	Animalia	Mollusca	Gastropoda	Trochida	Trochidae	Phorcus		articulatus	
Phorcus turbinatus	689179	exact	urn:lsid:marinespecies.org:taxname:689179	Phorcus turbinatus	(Born, 1778)	689179	Phorcus turbinatus	(Born, 1778)	Animalia	Mollusca	Gastropoda	Trochida	Trochidae	Phorcus		turbinatus	
Pinctada imbricata radiata	564660	exact	urn:lsid:marinespecies.org:taxname:564660	Pinctada imbricata radiata	(Leach, 1814)	564660	Pinctada imbricata radiata	(Leach, 1814)	Animalia	Mollusca	Bivalvia	Ostreida	Pteriidae	Pinctada		imbricata	radiata
Pisania striata	138924	exact	urn:lsid:marinespecies.org:taxname:138924	Pisania striata	(Gmelin, 1791)	138924	Pisania striata	(Gmelin, 1791)	Animalia	Mollusca	Gastropoda	Neogastropoda	Pisaniidae	Pisania		striata	
POLYCHAETA	883	exact	urn:lsid:marinespecies.org:taxname:883	Polychaeta	Grube, 1850	883	Polychaeta	Grube, 1850	Animalia	Annelida	Polychaeta						
Actinia equina	100803	exact	urn:lsid:marinespecies.org:taxname:100803	Actinia equina	(Linnaeus, 1758)	100803	Actinia equina	(Linnaeus, 1758)	Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Actinia		equina	
Brachidontes pharaonis	140437	exact	urn:lsid:marinespecies.org:taxname:140437	Brachidontes pharaonis	(P. Fischer, 1870)	140437	Brachidontes pharaonis	(P. Fischer, 1870)	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Brachidontes		pharaonis	
CHTHAMALIDAE	106059	exact	urn:lsid:marinespecies.org:taxname:106059	Chthamalidae	Darwin, 1854	106059	Chthamalidae	Darwin, 1854	Animalia	Arthropoda	Hexanauplia	Sessilia	Chthamalidae				
Chthamalus stellatus	106231	exact	urn:lsid:marinespecies.org:taxname:106231	Chthamalus stellatus	(Poli, 1791)	106231	Chthamalus stellatus	(Poli, 1791)	Animalia	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus		stellatus	
Dendropoma petraeum	141938	exact	urn:lsid:marinespecies.org:taxname:141938	Dendropoma petraeum	(Monterosato, 1884)	195911	Dendropoma cristatum	(Biondi, 1859)	Animalia	Mollusca	Gastropoda	Littorinimorpha	Vermetidae	Dendropoma		petraeum	
Didemnum	103456	exact	urn:lsid:marinespecies.org:taxname:103456	Didemnum	Savigny, 1816	103456	Didemnum	Savigny, 1816	Animalia	Chordata	Ascidiacea	Aplousobranchia	Didemnidae	Didemnum			
Euraphia depressa	106232	exact	urn:lsid:marinespecies.org:taxname:106232	Euraphia depressa	(Poli, 1791)	106232	Euraphia depressa	(Poli, 1791)	Animalia	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Euraphia		depressa	
Fissurellidae	111	exact	urn:lsid:marinespecies.org:taxname:111	Fissurellidae	J. Fleming, 1822	111	Fissurellidae	J. Fleming, 1822	Animalia	Mollusca	Gastropoda	Lepetellida	Fissurellidae				
Hydrozoa	1337	exact	urn:lsid:marinespecies.org:taxname:1337	Hydrozoa	Owen, 1843	1337	Hydrozoa	Owen, 1843	Animalia	Cnidaria	Hydrozoa						
LIMPET									
Oculina patagonica	135210	exact	urn:lsid:marinespecies.org:taxname:135210	Oculina patagonica	de Angelis, 1908	135210	Oculina patagonica	de Angelis, 1908	Animalia	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina		patagonica	
STYELIDAE	103450	exact	urn:lsid:marinespecies.org:taxname:103450	Styelidae	Sluiter, 1895	103450	Styelidae	Sluiter, 1895	Animalia	Chordata	Ascidiacea	Stolidobranchia	Styelidae				
Vermetus triquetrus	141944	exact	urn:lsid:marinespecies.org:taxname:141944	Vermetus triquetrus	Bivona-Bernardi, 1832	141944	Vermetus triquetrus	Bivona-Bernardi, 1832	Animalia	Mollusca	Gastropoda	Littorinimorpha	Vermetidae	Vermetus		triquetrus	
Digenea simplex	144808	exact	urn:lsid:marinespecies.org:taxname:144808	Digenea simplex	(Wulfen) C.Agardh, 1822	144808	Digenea simplex	(Wulfen) C.Agardh, 1822	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Digenea		simplex	
Acanthophora nayadiformis	144783	exact	urn:lsid:marinespecies.org:taxname:144783	Acanthophora nayadiformis	(Delile) Papenfuss, 1968	144783	Acanthophora nayadiformis	(Delile) Papenfuss, 1968	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Acanthophora		nayadiformis	
Acetabularia acetabulum	494795	exact	urn:lsid:marinespecies.org:taxname:494795	Acetabularia acetabulum	(Linnaeus) P.C.Silva, 1952	494795	Acetabularia acetabulum	(Linnaeus) P.C.Silva, 1952	Plantae	Chlorophyta	Ulvophyceae	Dasycladales	Polyphysaceae	Acetabularia		acetabulum	
