ScientificName	AphiaID	Match type	LSID	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Brachidontes sp6	138215	exact	urn:lsid:marinespecies.org:taxname:138215	Brachidontes	Swainson, 1840	138215	Brachidontes	Swainson, 1840	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Brachidontes			
Brachidontes sp7	138215	exact	urn:lsid:marinespecies.org:taxname:138215	Brachidontes	Swainson, 1840	138215	Brachidontes	Swainson, 1840	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Brachidontes			
Bryopsis pennata	144456	exact	urn:lsid:marinespecies.org:taxname:144456	Bryopsis pennata	J.V.Lamouroux, 1809	144456	Bryopsis pennata	J.V.Lamouroux, 1809	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Bryopsidaceae	Bryopsis		pennata	
Bryopsis plumosa	144457	exact	urn:lsid:marinespecies.org:taxname:144457	Bryopsis plumosa	(Hudson) C.Agardh, 1823	144457	Bryopsis plumosa	(Hudson) C.Agardh, 1823	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Bryopsidaceae	Bryopsis		plumosa	
Bryopsis sp1	143812	exact	urn:lsid:marinespecies.org:taxname:143812	Bryopsis	J.V.Lamouroux, 1809	143812	Bryopsis	J.V.Lamouroux, 1809	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Bryopsidaceae	Bryopsis			
Caulerpa mexicana	144468	exact	urn:lsid:marinespecies.org:taxname:144468	Caulerpa mexicana	Sonder ex Kützing, 1849	144468	Caulerpa mexicana	Sonder ex Kützing, 1849	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa		mexicana	
Caulerpa racemosa	144472	exact	urn:lsid:marinespecies.org:taxname:144472	Caulerpa racemosa	(Forsskål) J.Agardh, 1873	144472	Caulerpa racemosa	(Forsskål) J.Agardh, 1873	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa		racemosa	
Caulerpa sertularioides	144474	exact	urn:lsid:marinespecies.org:taxname:144474	Caulerpa sertularioides	(S.G.Gmelin) M.A.Howe, 1905	144474	Caulerpa sertularioides	(S.G.Gmelin) M.A.Howe, 1905	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa		sertularioides	
Caulerpa sp1	143816	exact	urn:lsid:marinespecies.org:taxname:143816	Caulerpa	J.V. Lamouroux, 1809	143816	Caulerpa	J.V. Lamouroux, 1809	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa			
Caulerpa sp2	143816	exact	urn:lsid:marinespecies.org:taxname:143816	Caulerpa	J.V. Lamouroux, 1809	143816	Caulerpa	J.V. Lamouroux, 1809	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa			
Caulerpa sp3	143816	exact	urn:lsid:marinespecies.org:taxname:143816	Caulerpa	J.V. Lamouroux, 1809	143816	Caulerpa	J.V. Lamouroux, 1809	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	Caulerpa			
CCA																	
Centroceras sp1	143833	exact	urn:lsid:marinespecies.org:taxname:143833	Centroceras	Kützing, 1842 '1841'	143833	Centroceras	Kützing, 1842 '1841'	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Centroceras			
Ceratozona squalida	386149	exact	urn:lsid:marinespecies.org:taxname:386149	Ceratozona squalida	(C. B. Adams, 1845)	386149	Ceratozona squalida	(C. B. Adams, 1845)	Animalia	Mollusca	Polyplacophora	Chitonida	Callistoplacidae	Ceratozona		squalida	
Cerithium atratum	224572	exact	urn:lsid:marinespecies.org:taxname:224572	Cerithium atratum	(Born, 1778)	224572	Cerithium atratum	(Born, 1778)	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Cerithiidae	Cerithium		atratum	
Cerithium sp1	137760	exact	urn:lsid:marinespecies.org:taxname:137760	Cerithium	Bruguière, 1789	137760	Cerithium	Bruguière, 1789	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Cerithiidae	Cerithium			
Chaetomorpha antennina	145021	exact	urn:lsid:marinespecies.org:taxname:145021	Chaetomorpha antennina	(Bory de Saint-Vincent) Kützing, 1847	145021	Chaetomorpha antennina	(Bory de Saint-Vincent) Kützing, 1847	Plantae	Chlorophyta	Ulvophyceae	Cladophorales	Cladophoraceae	Chaetomorpha		antennina	
Chaetomorpha crassa	145022	exact	urn:lsid:marinespecies.org:taxname:145022	Chaetomorpha crassa	(C.Agardh) Kützing, 1845	145022	Chaetomorpha crassa	(C.Agardh) Kützing, 1845	Plantae	Chlorophyta	Ulvophyceae	Cladophorales	Cladophoraceae	Chaetomorpha		crassa	
Chaetomorpha gracilis	145024	exact	urn:lsid:marinespecies.org:taxname:145024	Chaetomorpha gracilis	Kützing, 1845	145024	Chaetomorpha gracilis	Kützing, 1845	Plantae	Chlorophyta	Ulvophyceae	Cladophorales	Cladophoraceae	Chaetomorpha		gracilis	
Chaetomorpha sp1	143995	exact	urn:lsid:marinespecies.org:taxname:143995	Chaetomorpha	Kützing, 1845	143995	Chaetomorpha	Kützing, 1845	Plantae	Chlorophyta	Ulvophyceae	Cladophorales	Cladophoraceae	Chaetomorpha			
Chama sp1	137775	exact	urn:lsid:marinespecies.org:taxname:137775	Chama	Linnaeus, 1758	137775	Chama	Linnaeus, 1758	Animalia	Mollusca	Bivalvia		Chamidae	Chama			
Chiton sp4	137779	exact	urn:lsid:marinespecies.org:taxname:137779	Chiton	Linnaeus, 1758	137779	Chiton	Linnaeus, 1758	Animalia	Mollusca	Polyplacophora	Chitonida	Chitonidae	Chiton			
Chiton sp5	137779	exact	urn:lsid:marinespecies.org:taxname:137779	Chiton	Linnaeus, 1758	137779	Chiton	Linnaeus, 1758	Animalia	Mollusca	Polyplacophora	Chitonida	Chitonidae	Chiton			
Chiton sp6	137779	exact	urn:lsid:marinespecies.org:taxname:137779	Chiton	Linnaeus, 1758	137779	Chiton	Linnaeus, 1758	Animalia	Mollusca	Polyplacophora	Chitonida	Chitonidae	Chiton			
Chiton squamosus	848071	exact	urn:lsid:marinespecies.org:taxname:848071	Chiton squamosus	Linnaeus, 1764	848071	Chiton squamosus	Linnaeus, 1764	Animalia	Mollusca	Polyplacophora	Chitonida	Chitonidae	Chiton		squamosus	
Chlorophyta spp	801	exact	urn:lsid:marinespecies.org:taxname:801	Chlorophyta	Pascher, 1914	801	Chlorophyta	Pascher, 1914	Plantae	Chlorophyta							
Cirripedia spp	1082	exact	urn:lsid:marinespecies.org:taxname:1082	Cirripedia	Burmeister, 1834	1082	Cirripedia	Burmeister, 1834	Animalia	Arthropoda	Hexanauplia						
Cittarium pica	419449	exact	urn:lsid:marinespecies.org:taxname:419449	Cittarium pica	(Linnaeus, 1758)	419449	Cittarium pica	(Linnaeus, 1758)	Animalia	Mollusca	Gastropoda	Trochida	Tegulidae	Cittarium		pica	
Cittarium sp1	413476	exact	urn:lsid:marinespecies.org:taxname:413476	Cittarium	Philippi, 1847	413476	Cittarium	Philippi, 1847	Animalia	Mollusca	Gastropoda	Trochida	Tegulidae	Cittarium			
Cittarium sp2	413476	exact	urn:lsid:marinespecies.org:taxname:413476	Cittarium	Philippi, 1847	413476	Cittarium	Philippi, 1847	Animalia	Mollusca	Gastropoda	Trochida	Tegulidae	Cittarium			
Cliona sp1	132026	exact	urn:lsid:marinespecies.org:taxname:132026	Cliona	Grant, 1826	132026	Cliona	Grant, 1826	Animalia	Porifera	Demospongiae	Clionaida	Clionaidae	Cliona			
